npz_path,class_id,class_name,split,surface_area,bbox_volume,bbox_diag,bbox_dx,bbox_dy,bbox_dz
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/guitar/train/guitar_0138.npz,17,guitar,train,28578756427776.0,2.4528263833217663e+19,9904682.0,9344600.0,3177881.0,825978.0
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/plant/train/plant_0232.npz,26,plant,train,382.67864990234375,0.0,27.444637298583984,21.1112003326416,0.0,17.536399841308594
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/airplane/train/airplane_0550.npz,0,airplane,train,57394216.0,111476408320.0,10455.646484375,7321.1298828125,7154.89990234375,2128.1455078125
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/airplane/train/airplane_0600.npz,0,airplane,train,66778648.0,100941864960.0,9672.126953125,7014.39990234375,6248.5361328125,2303.04541015625
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/chair/train/chair_0876.npz,8,chair,train,3370864384.0,13292835700736.0,41677.2265625,23066.169921875,20659.16015625,27895.19921875
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/laptop/train/laptop_0104.npz,20,laptop,train,3.107468968198144e+16,5.8170521208389494e+23,148228352.0,98601296.0,88148000.0,66928000.0
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/bathtub/train/bathtub_0096.npz,1,bathtub,train,1356205824.0,2052870242304.0,25486.91796875,11694.94140625,21054.810546875,8337.044921875
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/stairs/train/stairs_0081.npz,31,stairs,train,252571424.0,1031021395968.0,17603.86328125,11222.66015625,9816.0,9359.169921875
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/car/train/car_0145.npz,7,car,train,207821622738944.0,6.897759808573669e+19,9162557.0,8115990.0,3482331.0,2440599.5
/home/udays/geometric_deep_learning/data/modelnet_surface_bbox/processed/lamp/train/lamp_0012.npz,19,lamp,train,31613064.0,69457731584.0,7234.38525390625,4720.64306640625,3460.96875,4251.2998046875
