npz_path,obj_path,fullId,shape_id,class_name,category,split,solidVolume,surfaceVolume,supportSurfaceArea,aligned_dim_x,aligned_dim_y,aligned_dim_z
data/shapenetsem_regression/processed/Cabinet/ed71da3a76f022edc84afcc956efcdd6.npz,data/shapenetsem_regression/raw/models-OBJ/models/ed71da3a76f022edc84afcc956efcdd6.obj,wss.ed71da3a76f022edc84afcc956efcdd6,ed71da3a76f022edc84afcc956efcdd6,Cabinet,Cabinet,train,0.361523,0.045675,0.70526,1.6539505,0.62023247,0.42175846
data/shapenetsem_regression/processed/Bed/9725ec5429b19ba05ac28d2931a0cac6.npz,data/shapenetsem_regression/raw/models-OBJ/models/9725ec5429b19ba05ac28d2931a0cac6.obj,wss.9725ec5429b19ba05ac28d2931a0cac6,9725ec5429b19ba05ac28d2931a0cac6,Bed,"Bed,LoftBed",train,1.076845,0.343276,0.03854,2.1547556,1.8046054,1.5891296
data/shapenetsem_regression/processed/Couch/9cddb828b936db93c341afa383659322.npz,data/shapenetsem_regression/raw/models-OBJ/models/9cddb828b936db93c341afa383659322.obj,wss.9cddb828b936db93c341afa383659322,9cddb828b936db93c341afa383659322,Couch,Couch,train,1.280434,0.223229,0.041824,1.9298128,1.1490976000000002,1.0126423
data/shapenetsem_regression/processed/_StanfordSceneDBModels/703b223f0eed433df7386af29f199cb.npz,data/shapenetsem_regression/raw/models-OBJ/models/703b223f0eed433df7386af29f199cb.obj,wss.703b223f0eed433df7386af29f199cb,703b223f0eed433df7386af29f199cb,_StanfordSceneDBModels,"_StanfordSceneDBModels,Washer",train,1.642742,0.115722,1.041338,1.0224156,1.4200217000000002,1.1795953000000001
data/shapenetsem_regression/processed/Refrigerator/4936e33b44153cd9d931a373c2cb01f.npz,data/shapenetsem_regression/raw/models-OBJ/models/4936e33b44153cd9d931a373c2cb01f.obj,wss.4936e33b44153cd9d931a373c2cb01f,4936e33b44153cd9d931a373c2cb01f,Refrigerator,Refrigerator,train,1.904409,0.136157,1.02056,1.1986755,1.8004811,0.9027063
data/shapenetsem_regression/processed/ChestOfDrawers/dd14418f73ae8c04cab00c2a9198853b.npz,data/shapenetsem_regression/raw/models-OBJ/models/dd14418f73ae8c04cab00c2a9198853b.obj,wss.dd14418f73ae8c04cab00c2a9198853b,dd14418f73ae8c04cab00c2a9198853b,ChestOfDrawers,"ChestOfDrawers,Dresser",train,1.380191,0.112855,1.393416,1.3146164,1.04158165,1.1650963
data/shapenetsem_regression/processed/Bed/dabc3d84040ed47eec450dc726c8f43e.npz,data/shapenetsem_regression/raw/models-OBJ/models/dabc3d84040ed47eec450dc726c8f43e.obj,wss.dabc3d84040ed47eec450dc726c8f43e,dabc3d84040ed47eec450dc726c8f43e,Bed,"Bed,QueenBed",train,1.533138,0.360145,0.02398,1.7963054,1.00608284,2.4776626999999998
data/shapenetsem_regression/processed/Oven/6fe99039481ce154c13f6e8e2f6bde6.npz,data/shapenetsem_regression/raw/models-OBJ/models/6fe99039481ce154c13f6e8e2f6bde6.obj,wss.6fe99039481ce154c13f6e8e2f6bde6,6fe99039481ce154c13f6e8e2f6bde6,Oven,Oven,train,1.392166,0.133623,0.117131,1.7795471,1.0973874000000001,0.874944
data/shapenetsem_regression/processed/Bed/5359b4d9702ac4d975aa7f24a9b6003a.npz,data/shapenetsem_regression/raw/models-OBJ/models/5359b4d9702ac4d975aa7f24a9b6003a.obj,wss.5359b4d9702ac4d975aa7f24a9b6003a,5359b4d9702ac4d975aa7f24a9b6003a,Bed,"Bed,QueenBed",train,1.494893,0.238387,0.063912,2.0264334,1.7219012,1.8193726000000001
data/shapenetsem_regression/processed/Cabinet/12c3a4561242a6fe840045f49392aafa.npz,data/shapenetsem_regression/raw/models-OBJ/models/12c3a4561242a6fe840045f49392aafa.obj,wss.12c3a4561242a6fe840045f49392aafa,12c3a4561242a6fe840045f49392aafa,Cabinet,Cabinet,train,0.452364,0.101298,0.469154,1.5673459,0.8309144,0.38940285
