npz_path,obj_path,fullId,shape_id,class_name,category,split,solidVolume,surfaceVolume,supportSurfaceArea,aligned_dim_x,aligned_dim_y,aligned_dim_z
data/shapenetsem_regression/processed/Piano/14755c2ee8e693aba508f621166382b0.npz,data/shapenetsem_regression/raw/models-OBJ/models/14755c2ee8e693aba508f621166382b0.obj,wss.14755c2ee8e693aba508f621166382b0,14755c2ee8e693aba508f621166382b0,Piano,Piano,train,0.279266,0.082952,0.017223,1.1430189,0.61069733,1.9797021000000001
data/shapenetsem_regression/processed/Candle/b6a099bbad33baeed49957356fca3ba9.npz,data/shapenetsem_regression/raw/models-OBJ/models/b6a099bbad33baeed49957356fca3ba9.obj,wss.b6a099bbad33baeed49957356fca3ba9,b6a099bbad33baeed49957356fca3ba9,Candle,Candle,train,0.001013,0.000391,1.9e-05,0.2675751,0.39488987000000003,0.23210333
data/shapenetsem_regression/processed/Bear/1a0312faac503f7dc2c1a442b53fa053.npz,data/shapenetsem_regression/raw/models-OBJ/models/1a0312faac503f7dc2c1a442b53fa053.obj,wss.1a0312faac503f7dc2c1a442b53fa053,1a0312faac503f7dc2c1a442b53fa053,Bear,"Bear,PlushToy",train,0.178982,0.022882,0.023579,0.8564763000000001,0.9902057000000001,0.5989407
data/shapenetsem_regression/processed/Chair/2387252e09b3911227eb00c151c6f711.npz,data/shapenetsem_regression/raw/models-OBJ/models/2387252e09b3911227eb00c151c6f711.obj,wss.2387252e09b3911227eb00c151c6f711,2387252e09b3911227eb00c151c6f711,Chair,"Chair,SideChair,_OIMwhitelist",train,0.021348,0.013728,0.014292,0.54477325,1.2536266,0.6804925500000001
data/shapenetsem_regression/processed/Gun/5dfed385de1d8d56eae5cab1248d1ec6.npz,data/shapenetsem_regression/raw/models-OBJ/models/5dfed385de1d8d56eae5cab1248d1ec6.obj,wss.5dfed385de1d8d56eae5cab1248d1ec6,5dfed385de1d8d56eae5cab1248d1ec6,Gun,Gun,train,0.023265,0.009489,0.007542,0.16770266,0.6979236000000001,0.919956
data/shapenetsem_regression/processed/Table/bf3c2b62444f6c5528f65e77564fabd1.npz,data/shapenetsem_regression/raw/models-OBJ/models/bf3c2b62444f6c5528f65e77564fabd1.obj,wss.bf3c2b62444f6c5528f65e77564fabd1,bf3c2b62444f6c5528f65e77564fabd1,Table,"Table,AccentTable,RoundTable,_AttributesTrain",train,0.040193,0.015677,0.002604,0.9118419,1.03283745,0.9019697999999999
data/shapenetsem_regression/processed/Lamp/3591b4c764217d2833e4e0fe8cce118e.npz,data/shapenetsem_regression/raw/models-OBJ/models/3591b4c764217d2833e4e0fe8cce118e.obj,wss.3591b4c764217d2833e4e0fe8cce118e,3591b4c764217d2833e4e0fe8cce118e,Lamp,"Lamp,TableLamp",train,0.001618,0.00287,0.012743,0.26520092,0.7224493,0.26520004
data/shapenetsem_regression/processed/TV/d4d8dd7053596249bc1905b3bc668597.npz,data/shapenetsem_regression/raw/models-OBJ/models/d4d8dd7053596249bc1905b3bc668597.obj,wss.d4d8dd7053596249bc1905b3bc668597,d4d8dd7053596249bc1905b3bc668597,TV,"TV,_StanfordSceneDBModels,_Attributes",train,0.091078,0.031645,0.098409,1.3520499000000001,0.6204049700000001,0.19040024
data/shapenetsem_regression/processed/Lamp/e6d62a37e187bde599284d844aba7576.npz,data/shapenetsem_regression/raw/models-OBJ/models/e6d62a37e187bde599284d844aba7576.obj,wss.e6d62a37e187bde599284d844aba7576,e6d62a37e187bde599284d844aba7576,Lamp,"Lamp,FloorLamp",train,0.004183,0.002787,0.031972,0.9216492,1.3370955,0.67809044
data/shapenetsem_regression/processed/Lamp/fcd263dc05862ad1bec3353c29751fdf.npz,data/shapenetsem_regression/raw/models-OBJ/models/fcd263dc05862ad1bec3353c29751fdf.obj,wss.fcd263dc05862ad1bec3353c29751fdf,fcd263dc05862ad1bec3353c29751fdf,Lamp,"Lamp,CeilingLamp",train,0.004456,0.002516,7.1e-05,0.6658337000000001,0.3299709,0.7630948
data/shapenetsem_regression/processed/CellPhone/5abeb89902fa3f4d93e23bce24555640.npz,data/shapenetsem_regression/raw/models-OBJ/models/5abeb89902fa3f4d93e23bce24555640.obj,wss.5abeb89902fa3f4d93e23bce24555640,5abeb89902fa3f4d93e23bce24555640,CellPhone,CellPhone,train,0.000404,0.000157,0.022781,0.09556642,0.24776953,0.016941373
